"sample","epa_analysis_id","analyte","lab_name","activity_datetime","rec_datetime","hold_time_hours","analytical_method","max_holding_time_text","max_holding_time_hours","hold_time_pass"
"RM0_No_Name_Creek","200.8","Cadmium","SGS North America, Anchorage, Alaska",2021-05-11 10:20:00,2021-05-12 08:16:00,21.9333333333333,"200.8","180 days",4320,"Y"
"RM0_No_Name_Creek","200.8","Chromium","SGS North America, Anchorage, Alaska",2021-05-11 10:20:00,2021-05-12 08:16:00,21.9333333333333,"200.8","180 days",4320,"Y"
"RM0_No_Name_Creek","200.8","Copper","SGS North America, Anchorage, Alaska",2021-05-11 10:20:00,2021-05-12 08:16:00,21.9333333333333,"200.8","180 days",4320,"Y"
"RM0_No_Name_Creek","200.8","Lead","SGS North America, Anchorage, Alaska",2021-05-11 10:20:00,2021-05-12 08:16:00,21.9333333333333,"200.8","180 days",4320,"Y"
"RM0_No_Name_Creek","200.8","Zinc","SGS North America, Anchorage, Alaska",2021-05-11 10:20:00,2021-05-12 08:16:00,21.9333333333333,"200.8","180 days",4320,"Y"
"RM1.5_Kenai_City_Dock","4500-NO3(F)","Total Nitrate/Nitrite-N","SGS North America, Anchorage, Alaska",2021-05-11 09:29:00,2021-05-12 08:16:00,22.7833333333333,"SM21 4500NO3-F","28 days",672,"Y"
"RM1.5_Kenai_City_Dock","4500-P-E","Total Phosphorus","SGS North America, Anchorage, Alaska",2021-05-11 09:29:00,2021-05-12 08:16:00,22.7833333333333,"SM21 4500P-B,E","28 days",672,"Y"
"RM1.5_Kenai_City_Dock","200.8","Arsenic","SGS North America, Anchorage, Alaska",2021-05-11 09:30:00,2021-05-12 08:16:00,22.7666666666667,"200.8","180 days",4320,"Y"
"RM1.5_Kenai_City_Dock","200.8","Cadmium","SGS North America, Anchorage, Alaska",2021-05-11 09:30:00,2021-05-12 08:16:00,22.7666666666667,"200.8","180 days",4320,"Y"
"RM1.5_Kenai_City_Dock","200.8","Chromium","SGS North America, Anchorage, Alaska",2021-05-11 09:30:00,2021-05-12 08:16:00,22.7666666666667,"200.8","180 days",4320,"Y"
"RM1.5_Kenai_City_Dock","200.8","Copper","SGS North America, Anchorage, Alaska",2021-05-11 09:30:00,2021-05-12 08:16:00,22.7666666666667,"200.8","180 days",4320,"Y"
"RM1.5_Kenai_City_Dock","200.8","Lead","SGS North America, Anchorage, Alaska",2021-05-11 09:30:00,2021-05-12 08:16:00,22.7666666666667,"200.8","180 days",4320,"Y"
"RM1.5_Kenai_City_Dock","200.8","Zinc","SGS North America, Anchorage, Alaska",2021-05-11 09:30:00,2021-05-12 08:16:00,22.7666666666667,"200.8","180 days",4320,"Y"
"RM10.1_Kenai_River","4500-NO3(F)","Total Nitrate/Nitrite-N","SGS North America, Anchorage, Alaska",2021-05-11 10:30:00,2021-05-12 08:16:00,21.7666666666667,"SM21 4500NO3-F","28 days",672,"Y"
"RM10.1_Kenai_River","4500-P-E","Total Phosphorus","SGS North America, Anchorage, Alaska",2021-05-11 10:30:00,2021-05-12 08:16:00,21.7666666666667,"SM21 4500P-B,E","28 days",672,"Y"
"Rm10.1_Kenai_River","200.8","Arsenic","SGS North America, Anchorage, Alaska",2021-05-11 10:30:00,2021-05-12 08:16:00,21.7666666666667,"200.8","180 days",4320,"Y"
"Rm10.1_Kenai_River","200.8","Cadmium","SGS North America, Anchorage, Alaska",2021-05-11 10:30:00,2021-05-12 08:16:00,21.7666666666667,"200.8","180 days",4320,"Y"
"Rm10.1_Kenai_River","200.8","Chromium","SGS North America, Anchorage, Alaska",2021-05-11 10:30:00,2021-05-12 08:16:00,21.7666666666667,"200.8","180 days",4320,"Y"
"Rm10.1_Kenai_River","200.8","Copper","SGS North America, Anchorage, Alaska",2021-05-11 10:30:00,2021-05-12 08:16:00,21.7666666666667,"200.8","180 days",4320,"Y"
"Rm10.1_Kenai_River","200.8","Lead","SGS North America, Anchorage, Alaska",2021-05-11 10:30:00,2021-05-12 08:16:00,21.7666666666667,"200.8","180 days",4320,"Y"
"Rm10.1_Kenai_River","200.8","Zinc","SGS North America, Anchorage, Alaska",2021-05-11 10:30:00,2021-05-12 08:16:00,21.7666666666667,"200.8","180 days",4320,"Y"
"RM10_Beaver_Creek","4500-NO3(F)","Total Nitrate/Nitrite-N","SGS North America, Anchorage, Alaska",2021-05-11 10:05:00,2021-05-12 08:16:00,22.1833333333333,"SM21 4500NO3-F","28 days",672,"Y"
"RM10_Beaver_Creek","4500-P-E","Total Phosphorus","SGS North America, Anchorage, Alaska",2021-05-11 10:05:00,2021-05-12 08:16:00,22.1833333333333,"SM21 4500P-B,E","28 days",672,"Y"
"RM10_Beaver_creek","200.8","Arsenic","SGS North America, Anchorage, Alaska",2021-05-11 10:05:00,2021-05-12 08:16:00,22.1833333333333,"200.8","180 days",4320,"Y"
"RM10_Beaver_creek","200.8","Cadmium","SGS North America, Anchorage, Alaska",2021-05-11 10:05:00,2021-05-12 08:16:00,22.1833333333333,"200.8","180 days",4320,"Y"
"RM10_Beaver_creek","200.8","Chromium","SGS North America, Anchorage, Alaska",2021-05-11 10:05:00,2021-05-12 08:16:00,22.1833333333333,"200.8","180 days",4320,"Y"
"RM10_Beaver_creek","200.8","Copper","SGS North America, Anchorage, Alaska",2021-05-11 10:05:00,2021-05-12 08:16:00,22.1833333333333,"200.8","180 days",4320,"Y"
"RM10_Beaver_creek","200.8","Lead","SGS North America, Anchorage, Alaska",2021-05-11 10:05:00,2021-05-12 08:16:00,22.1833333333333,"200.8","180 days",4320,"Y"
"RM10_Beaver_creek","200.8","Zinc","SGS North America, Anchorage, Alaska",2021-05-11 10:05:00,2021-05-12 08:16:00,22.1833333333333,"200.8","180 days",4320,"Y"
"RM12.5_Pillar","200.8","Arsenic","SGS North America, Anchorage, Alaska",2021-05-11 10:50:00,2021-05-12 08:16:00,21.4333333333333,"200.8","180 days",4320,"Y"
"RM12.5_Pillar","200.8","Cadmium","SGS North America, Anchorage, Alaska",2021-05-11 10:50:00,2021-05-12 08:16:00,21.4333333333333,"200.8","180 days",4320,"Y"
"RM12.5_Pillar","200.8","Chromium","SGS North America, Anchorage, Alaska",2021-05-11 10:50:00,2021-05-12 08:16:00,21.4333333333333,"200.8","180 days",4320,"Y"
"RM12.5_Pillar","200.8","Copper","SGS North America, Anchorage, Alaska",2021-05-11 10:50:00,2021-05-12 08:16:00,21.4333333333333,"200.8","180 days",4320,"Y"
"RM12.5_Pillar","200.8","Lead","SGS North America, Anchorage, Alaska",2021-05-11 10:50:00,2021-05-12 08:16:00,21.4333333333333,"200.8","180 days",4320,"Y"
"RM12.5_Pillar","200.8","Zinc","SGS North America, Anchorage, Alaska",2021-05-11 10:50:00,2021-05-12 08:16:00,21.4333333333333,"200.8","180 days",4320,"Y"
"RM12.5_Pillars","4500-NO3(F)","Total Nitrate/Nitrite-N","SGS North America, Anchorage, Alaska",2021-05-11 10:50:00,2021-05-12 08:16:00,21.4333333333333,"SM21 4500NO3-F","28 days",672,"Y"
"RM12.5_Pillars","4500-P-E","Total Phosphorus","SGS North America, Anchorage, Alaska",2021-05-11 10:50:00,2021-05-12 08:16:00,21.4333333333333,"SM21 4500P-B,E","28 days",672,"Y"
"RM18_Poachers_Cove","4500-NO3(F)","Total Nitrate/Nitrite-N","SGS North America, Anchorage, Alaska",2021-05-11 11:25:00,2021-05-12 08:16:00,20.85,"SM21 4500NO3-F","28 days",672,"Y"
"RM18_Poachers_Cove","4500-P-E","Total Phosphorus","SGS North America, Anchorage, Alaska",2021-05-11 11:25:00,2021-05-12 08:16:00,20.85,"SM21 4500P-B,E","28 days",672,"Y"
"RM18_Poachers_Cove","200.8","Arsenic","SGS North America, Anchorage, Alaska",2021-05-11 11:25:00,2021-05-12 08:16:00,20.85,"200.8","180 days",4320,"Y"
"RM18_Poachers_Cove","200.8","Cadmium","SGS North America, Anchorage, Alaska",2021-05-11 11:25:00,2021-05-12 08:16:00,20.85,"200.8","180 days",4320,"Y"
"RM18_Poachers_Cove","200.8","Chromium","SGS North America, Anchorage, Alaska",2021-05-11 11:25:00,2021-05-12 08:16:00,20.85,"200.8","180 days",4320,"Y"
"RM18_Poachers_Cove","200.8","Copper","SGS North America, Anchorage, Alaska",2021-05-11 11:25:00,2021-05-12 08:16:00,20.85,"200.8","180 days",4320,"Y"
"RM18_Poachers_Cove","200.8","Lead","SGS North America, Anchorage, Alaska",2021-05-11 11:25:00,2021-05-12 08:16:00,20.85,"200.8","180 days",4320,"Y"
"RM18_Poachers_Cove","200.8","Zinc","SGS North America, Anchorage, Alaska",2021-05-11 11:25:00,2021-05-12 08:16:00,20.85,"200.8","180 days",4320,"Y"
"RM19_Slikok_Creek","4500-NO3(F)","Total Nitrate/Nitrite-N","SGS North America, Anchorage, Alaska",2021-05-11 12:05:00,2021-05-12 08:16:00,20.1833333333333,"SM21 4500NO3-F","28 days",672,"Y"
"RM19_Slikok_Creek","4500-P-E","Total Phosphorus","SGS North America, Anchorage, Alaska",2021-05-11 12:05:00,2021-05-12 08:16:00,20.1833333333333,"SM21 4500P-B,E","28 days",672,"Y"
"RM19_Slikok_Creek","200.8","Arsenic","SGS North America, Anchorage, Alaska",2021-05-11 12:09:00,2021-05-12 08:16:00,20.1166666666667,"200.8","180 days",4320,"Y"
"RM19_Slikok_Creek","200.8","Cadmium","SGS North America, Anchorage, Alaska",2021-05-11 12:09:00,2021-05-12 08:16:00,20.1166666666667,"200.8","180 days",4320,"Y"
"RM19_Slikok_Creek","200.8","Chromium","SGS North America, Anchorage, Alaska",2021-05-11 12:09:00,2021-05-12 08:16:00,20.1166666666667,"200.8","180 days",4320,"Y"
"RM19_Slikok_Creek","200.8","Copper","SGS North America, Anchorage, Alaska",2021-05-11 12:09:00,2021-05-12 08:16:00,20.1166666666667,"200.8","180 days",4320,"Y"
"RM19_Slikok_Creek","200.8","Lead","SGS North America, Anchorage, Alaska",2021-05-11 12:09:00,2021-05-12 08:16:00,20.1166666666667,"200.8","180 days",4320,"Y"
"RM19_Slikok_Creek","200.8","Zinc","SGS North America, Anchorage, Alaska",2021-05-11 12:09:00,2021-05-12 08:16:00,20.1166666666667,"200.8","180 days",4320,"Y"
"RM21_Soldotna_Bridge","4500-NO3(F)","Total Nitrate/Nitrite-N","SGS North America, Anchorage, Alaska",2021-05-11 12:05:00,2021-05-12 08:16:00,20.1833333333333,"SM21 4500NO3-F","28 days",672,"Y"
"RM21_Soldotna_Bridge","4500-P-E","Total Phosphorus","SGS North America, Anchorage, Alaska",2021-05-11 12:05:00,2021-05-12 08:16:00,20.1833333333333,"SM21 4500P-B,E","28 days",672,"Y"
"RM21_Soldotna_Bridge","200.8","Arsenic","SGS North America, Anchorage, Alaska",2021-05-11 10:02:00,2021-05-12 08:16:00,22.2333333333333,"200.8","180 days",4320,"Y"
"RM21_Soldotna_Bridge","200.8","Cadmium","SGS North America, Anchorage, Alaska",2021-05-11 10:02:00,2021-05-12 08:16:00,22.2333333333333,"200.8","180 days",4320,"Y"
"RM21_Soldotna_Bridge","200.8","Chromium","SGS North America, Anchorage, Alaska",2021-05-11 10:02:00,2021-05-12 08:16:00,22.2333333333333,"200.8","180 days",4320,"Y"
"RM21_Soldotna_Bridge","200.8","Copper","SGS North America, Anchorage, Alaska",2021-05-11 10:02:00,2021-05-12 08:16:00,22.2333333333333,"200.8","180 days",4320,"Y"
"RM21_Soldotna_Bridge","200.8","Lead","SGS North America, Anchorage, Alaska",2021-05-11 10:02:00,2021-05-12 08:16:00,22.2333333333333,"200.8","180 days",4320,"Y"
"RM21_Soldotna_Bridge","200.8","Zinc","SGS North America, Anchorage, Alaska",2021-05-11 10:02:00,2021-05-12 08:16:00,22.2333333333333,"200.8","180 days",4320,"Y"
"RM22_Soldotna_Creek","4500-NO3(F)","Total Nitrate/Nitrite-N","SGS North America, Anchorage, Alaska",2021-05-11 11:34:00,2021-05-12 08:16:00,20.7,"SM21 4500NO3-F","28 days",672,"Y"
"RM22_Soldotna_Creek","4500-P-E","Total Phosphorus","SGS North America, Anchorage, Alaska",2021-05-11 11:34:00,2021-05-12 08:16:00,20.7,"SM21 4500P-B,E","28 days",672,"Y"
"RM22_Soldotna_Creek","200.8","Arsenic","SGS North America, Anchorage, Alaska",2021-05-11 11:33:00,2021-05-12 08:16:00,20.7166666666667,"200.8","180 days",4320,"Y"
"RM22_Soldotna_Creek","200.8","Cadmium","SGS North America, Anchorage, Alaska",2021-05-11 11:33:00,2021-05-12 08:16:00,20.7166666666667,"200.8","180 days",4320,"Y"
"RM22_Soldotna_Creek","200.8","Chromium","SGS North America, Anchorage, Alaska",2021-05-11 11:33:00,2021-05-12 08:16:00,20.7166666666667,"200.8","180 days",4320,"Y"
"RM22_Soldotna_Creek","200.8","Copper","SGS North America, Anchorage, Alaska",2021-05-11 11:33:00,2021-05-12 08:16:00,20.7166666666667,"200.8","180 days",4320,"Y"
"RM22_Soldotna_Creek","200.8","Lead","SGS North America, Anchorage, Alaska",2021-05-11 11:33:00,2021-05-12 08:16:00,20.7166666666667,"200.8","180 days",4320,"Y"
"RM22_Soldotna_Creek","200.8","Zinc","SGS North America, Anchorage, Alaska",2021-05-11 11:33:00,2021-05-12 08:16:00,20.7166666666667,"200.8","180 days",4320,"Y"
"RM23_Swiftwater","4500-NO3(F)","Total Nitrate/Nitrite-N","SGS North America, Anchorage, Alaska",2021-05-11 11:06:00,2021-05-12 08:16:00,21.1666666666667,"SM21 4500NO3-F","28 days",672,"Y"
"RM23_Swiftwater","4500-P-E","Total Phosphorus","SGS North America, Anchorage, Alaska",2021-05-11 11:06:00,2021-05-12 08:16:00,21.1666666666667,"SM21 4500P-B,E","28 days",672,"Y"
"RM23_Swiftwater_Park","200.8","Arsenic","SGS North America, Anchorage, Alaska",2021-05-11 11:05:00,2021-05-12 08:16:00,21.1833333333333,"200.8","180 days",4320,"Y"
"RM23_Swiftwater_Park","200.8","Cadmium","SGS North America, Anchorage, Alaska",2021-05-11 11:05:00,2021-05-12 08:16:00,21.1833333333333,"200.8","180 days",4320,"Y"
"RM23_Swiftwater_Park","200.8","Chromium","SGS North America, Anchorage, Alaska",2021-05-11 11:05:00,2021-05-12 08:16:00,21.1833333333333,"200.8","180 days",4320,"Y"
"RM23_Swiftwater_Park","200.8","Copper","SGS North America, Anchorage, Alaska",2021-05-11 11:05:00,2021-05-12 08:16:00,21.1833333333333,"200.8","180 days",4320,"Y"
"RM23_Swiftwater_Park","200.8","Lead","SGS North America, Anchorage, Alaska",2021-05-11 11:05:00,2021-05-12 08:16:00,21.1833333333333,"200.8","180 days",4320,"Y"
"RM23_Swiftwater_Park","200.8","Zinc","SGS North America, Anchorage, Alaska",2021-05-11 11:05:00,2021-05-12 08:16:00,21.1833333333333,"200.8","180 days",4320,"Y"
"RM30_Funny_River","4500-NO3(F)","Total Nitrate/Nitrite-N","SGS North America, Anchorage, Alaska",2021-05-11 09:06:00,2021-05-12 08:16:00,23.1666666666667,"SM21 4500NO3-F","28 days",672,"Y"
"RM30_Funny_River","4500-P-E","Total Phosphorus","SGS North America, Anchorage, Alaska",2021-05-11 09:06:00,2021-05-12 08:16:00,23.1666666666667,"SM21 4500P-B,E","28 days",672,"Y"
"RM30_Funny_River","200.8","Arsenic","SGS North America, Anchorage, Alaska",2021-05-11 09:06:00,2021-05-12 08:16:00,23.1666666666667,"200.8","180 days",4320,"Y"
"RM30_Funny_River","200.8","Cadmium","SGS North America, Anchorage, Alaska",2021-05-11 09:06:00,2021-05-12 08:16:00,23.1666666666667,"200.8","180 days",4320,"Y"
"RM30_Funny_River","200.8","Chromium","SGS North America, Anchorage, Alaska",2021-05-11 09:06:00,2021-05-12 08:16:00,23.1666666666667,"200.8","180 days",4320,"Y"
"RM30_Funny_River","200.8","Copper","SGS North America, Anchorage, Alaska",2021-05-11 09:06:00,2021-05-12 08:16:00,23.1666666666667,"200.8","180 days",4320,"Y"
"RM30_Funny_River","200.8","Lead","SGS North America, Anchorage, Alaska",2021-05-11 09:06:00,2021-05-12 08:16:00,23.1666666666667,"200.8","180 days",4320,"Y"
"RM30_Funny_River","200.8","Zinc","SGS North America, Anchorage, Alaska",2021-05-11 09:06:00,2021-05-12 08:16:00,23.1666666666667,"200.8","180 days",4320,"Y"
"RM31_Morgans_Landing","4500-NO3(F)","Total Nitrate/Nitrite-N","SGS North America, Anchorage, Alaska",2021-05-11 10:13:00,2021-05-12 08:16:00,22.05,"SM21 4500NO3-F","28 days",672,"Y"
"RM31_Morgans_Landing","4500-P-E","Total Phosphorus","SGS North America, Anchorage, Alaska",2021-05-11 10:13:00,2021-05-12 08:16:00,22.05,"SM21 4500P-B,E","28 days",672,"Y"
"RM31_Morgans_Landing","200.8","Arsenic","SGS North America, Anchorage, Alaska",2021-05-11 10:13:00,2021-05-12 08:16:00,22.05,"200.8","180 days",4320,"Y"
"RM31_Morgans_Landing","200.8","Cadmium","SGS North America, Anchorage, Alaska",2021-05-11 10:13:00,2021-05-12 08:16:00,22.05,"200.8","180 days",4320,"Y"
"RM31_Morgans_Landing","200.8","Chromium","SGS North America, Anchorage, Alaska",2021-05-11 10:13:00,2021-05-12 08:16:00,22.05,"200.8","180 days",4320,"Y"
"RM31_Morgans_Landing","200.8","Copper","SGS North America, Anchorage, Alaska",2021-05-11 10:13:00,2021-05-12 08:16:00,22.05,"200.8","180 days",4320,"Y"
"RM31_Morgans_Landing","200.8","Lead","SGS North America, Anchorage, Alaska",2021-05-11 10:13:00,2021-05-12 08:16:00,22.05,"200.8","180 days",4320,"Y"
"RM31_Morgans_Landing","200.8","Zinc","SGS North America, Anchorage, Alaska",2021-05-11 10:13:00,2021-05-12 08:16:00,22.05,"200.8","180 days",4320,"Y"
"RM31_Morgans_Landing","4500-NO3(F)","Total Nitrate/Nitrite-N","SGS North America, Anchorage, Alaska",2021-05-11 10:13:00,2021-05-12 08:16:00,22.05,"SM21 4500NO3-F","28 days",672,"Y"
"RM31_Morgans_Landing","4500-P-E","Total Phosphorus","SGS North America, Anchorage, Alaska",2021-05-11 10:13:00,2021-05-12 08:16:00,22.05,"SM21 4500P-B,E","28 days",672,"Y"
"RM36_Moose_River","4500-NO3(F)","Total Nitrate/Nitrite-N","SGS North America, Anchorage, Alaska",2021-05-11 10:50:00,2021-05-12 08:16:00,21.4333333333333,"SM21 4500NO3-F","28 days",672,"Y"
"RM36_Moose_River","4500-P-E","Total Phosphorus","SGS North America, Anchorage, Alaska",2021-05-11 10:50:00,2021-05-12 08:16:00,21.4333333333333,"SM21 4500P-B,E","28 days",672,"Y"
"RM36_Moose_River","200.8","Arsenic","SGS North America, Anchorage, Alaska",2021-05-11 10:50:00,2021-05-12 08:16:00,21.4333333333333,"200.8","180 days",4320,"Y"
"RM36_Moose_River","200.8","Cadmium","SGS North America, Anchorage, Alaska",2021-05-11 10:50:00,2021-05-12 08:16:00,21.4333333333333,"200.8","180 days",4320,"Y"
"RM36_Moose_River","200.8","Chromium","SGS North America, Anchorage, Alaska",2021-05-11 10:50:00,2021-05-12 08:16:00,21.4333333333333,"200.8","180 days",4320,"Y"
"RM36_Moose_River","200.8","Copper","SGS North America, Anchorage, Alaska",2021-05-11 10:50:00,2021-05-12 08:16:00,21.4333333333333,"200.8","180 days",4320,"Y"
"RM36_Moose_River","200.8","Lead","SGS North America, Anchorage, Alaska",2021-05-11 10:50:00,2021-05-12 08:16:00,21.4333333333333,"200.8","180 days",4320,"Y"
"RM36_Moose_River","200.8","Zinc","SGS North America, Anchorage, Alaska",2021-05-11 10:50:00,2021-05-12 08:16:00,21.4333333333333,"200.8","180 days",4320,"Y"
"RM40_Bings_Landing","4500-NO3(F)","Total Nitrate/Nitrite-N","SGS North America, Anchorage, Alaska",2021-05-11 09:50:00,2021-05-12 08:16:00,22.4333333333333,"SM21 4500NO3-F","28 days",672,"Y"
"RM40_Bings_Landing","4500-P-E","Total Phosphorus","SGS North America, Anchorage, Alaska",2021-05-11 09:50:00,2021-05-12 08:16:00,22.4333333333333,"SM21 4500P-B,E","28 days",672,"Y"
"RM40_Bings_Landing","200.8","Arsenic","SGS North America, Anchorage, Alaska",2021-05-11 09:58:00,2021-05-12 08:16:00,22.3,"200.8","180 days",4320,"Y"
"RM40_Bings_Landing","200.8","Cadmium","SGS North America, Anchorage, Alaska",2021-05-11 09:58:00,2021-05-12 08:16:00,22.3,"200.8","180 days",4320,"Y"
"RM40_Bings_Landing","200.8","Chromium","SGS North America, Anchorage, Alaska",2021-05-11 09:58:00,2021-05-12 08:16:00,22.3,"200.8","180 days",4320,"Y"
"RM40_Bings_Landing","200.8","Copper","SGS North America, Anchorage, Alaska",2021-05-11 09:58:00,2021-05-12 08:16:00,22.3,"200.8","180 days",4320,"Y"
"RM40_Bings_Landing","200.8","Lead","SGS North America, Anchorage, Alaska",2021-05-11 09:58:00,2021-05-12 08:16:00,22.3,"200.8","180 days",4320,"Y"
"RM40_Bings_Landing","200.8","Zinc","SGS North America, Anchorage, Alaska",2021-05-11 09:58:00,2021-05-12 08:16:00,22.3,"200.8","180 days",4320,"Y"
"RM43_Upstream_of_Dow_Island","4500-NO3(F)","Total Nitrate/Nitrite-N","SGS North America, Anchorage, Alaska",2021-05-11 09:34:00,2021-05-12 08:16:00,22.7,"SM21 4500NO3-F","28 days",672,"Y"
"RM43_Upstream_of_Dow_Island","4500-P-E","Total Phosphorus","SGS North America, Anchorage, Alaska",2021-05-11 09:34:00,2021-05-12 08:16:00,22.7,"SM21 4500P-B,E","28 days",672,"Y"
"RM43_Upstream_of_Dow_Island","200.8","Arsenic","SGS North America, Anchorage, Alaska",2021-05-11 09:34:00,2021-05-12 08:16:00,22.7,"200.8","180 days",4320,"Y"
"RM43_Upstream_of_Dow_Island","200.8","Cadmium","SGS North America, Anchorage, Alaska",2021-05-11 09:34:00,2021-05-12 08:16:00,22.7,"200.8","180 days",4320,"Y"
"RM43_Upstream_of_Dow_Island","200.8","Chromium","SGS North America, Anchorage, Alaska",2021-05-11 09:34:00,2021-05-12 08:16:00,22.7,"200.8","180 days",4320,"Y"
"RM43_Upstream_of_Dow_Island","200.8","Copper","SGS North America, Anchorage, Alaska",2021-05-11 09:34:00,2021-05-12 08:16:00,22.7,"200.8","180 days",4320,"Y"
"RM43_Upstream_of_Dow_Island","200.8","Lead","SGS North America, Anchorage, Alaska",2021-05-11 09:34:00,2021-05-12 08:16:00,22.7,"200.8","180 days",4320,"Y"
"RM43_Upstream_of_Dow_Island","200.8","Zinc","SGS North America, Anchorage, Alaska",2021-05-11 09:34:00,2021-05-12 08:16:00,22.7,"200.8","180 days",4320,"Y"
"RM44_Mouth_of_Killey_River","4500-NO3(F)","Total Nitrate/Nitrite-N","SGS North America, Anchorage, Alaska",2021-05-11 08:57:00,2021-05-12 08:16:00,23.3166666666667,"SM21 4500NO3-F","28 days",672,"Y"
"RM44_Mouth_of_Killey_River","4500-P-E","Total Phosphorus","SGS North America, Anchorage, Alaska",2021-05-11 08:57:00,2021-05-12 08:16:00,23.3166666666667,"SM21 4500P-B,E","28 days",672,"Y"
"RM44_Mouth_of_Killey_River","200.8","Arsenic","SGS North America, Anchorage, Alaska",2021-05-11 08:57:00,2021-05-12 08:16:00,23.3166666666667,"200.8","180 days",4320,"Y"
"RM44_Mouth_of_Killey_River","200.8","Cadmium","SGS North America, Anchorage, Alaska",2021-05-11 08:57:00,2021-05-12 08:16:00,23.3166666666667,"200.8","180 days",4320,"Y"
"RM44_Mouth_of_Killey_River","200.8","Chromium","SGS North America, Anchorage, Alaska",2021-05-11 08:57:00,2021-05-12 08:16:00,23.3166666666667,"200.8","180 days",4320,"Y"
"RM44_Mouth_of_Killey_River","200.8","Copper","SGS North America, Anchorage, Alaska",2021-05-11 08:57:00,2021-05-12 08:16:00,23.3166666666667,"200.8","180 days",4320,"Y"
"RM44_Mouth_of_Killey_River","200.8","Lead","SGS North America, Anchorage, Alaska",2021-05-11 08:57:00,2021-05-12 08:16:00,23.3166666666667,"200.8","180 days",4320,"Y"
"RM44_Mouth_of_Killey_River","200.8","Zinc","SGS North America, Anchorage, Alaska",2021-05-11 08:57:00,2021-05-12 08:16:00,23.3166666666667,"200.8","180 days",4320,"Y"
"RM50_Skilak_Lake_Outflow","4500-NO3(F)","Total Nitrate/Nitrite-N","SGS North America, Anchorage, Alaska",2021-05-11 07:21:00,2021-05-12 08:16:00,24.9166666666667,"SM21 4500NO3-F","28 days",672,"Y"
"RM50_Skilak_Lake_Outflow","4500-P-E","Total Phosphorus","SGS North America, Anchorage, Alaska",2021-05-11 07:21:00,2021-05-12 08:16:00,24.9166666666667,"SM21 4500P-B,E","28 days",672,"Y"
"RM50_Skilak_Lake_Outlet","200.8","Arsenic","SGS North America, Anchorage, Alaska",2021-05-11 07:22:00,2021-05-12 08:16:00,24.9,"200.8","180 days",4320,"Y"
"RM50_Skilak_Lake_Outlet","200.8","Cadmium","SGS North America, Anchorage, Alaska",2021-05-11 07:22:00,2021-05-12 08:16:00,24.9,"200.8","180 days",4320,"Y"
"RM50_Skilak_Lake_Outlet","200.8","Chromium","SGS North America, Anchorage, Alaska",2021-05-11 07:22:00,2021-05-12 08:16:00,24.9,"200.8","180 days",4320,"Y"
"RM50_Skilak_Lake_Outlet","200.8","Copper","SGS North America, Anchorage, Alaska",2021-05-11 07:22:00,2021-05-12 08:16:00,24.9,"200.8","180 days",4320,"Y"
