"","organization_formal_name","activity_identifier","activity_start_date","activity_start_time_time","activity_start_time_time_zone_code","monitoring_location_identifier","characteristic_name","result_measure_value","result_measure_measure_unit_code","result_status_identifier","result_value_type_name","result_analytical_method_method_identifier","result_analytical_method_method_identifier_context","result_analytical_method_method_name","project","trib_mainstem","river_mile","monitoring_location_name","monitoring_location_type_name","huc_eight_digit_code","drainage_area_measure_measure_value","drainage_area_measure_measure_unit_code","latitude_measure","longitude_measure","source_map_scale_numeric","horizontal_accuracy_measure_measure_value","horizontal_accuracy_measure_measure_unit_code","horizontal_collection_method_name","horizontal_coordinate_reference_system_datum_name","vertical_measure_measure_value","vertical_measure_measure_unit_code","vertical_accuracy_measure_measure_value","vertical_accuracy_measure_measure_unit_code","vertical_collection_method_name","vertical_coordinate_reference_system_datum_name","julian_day","season"
"11","Kenai Watershed Forum","KENAI_WQX-10000030_07/26/2005_08:26:00",2005-07-26,08:26:00,"AKDT","KENAI_WQX-10000030","Magnesium",0.844,"mg/l","Final","Actual","200.7(W)","USEPA","200.7 W  ~ Metals in Water by ICP-AES","KBL","m","50.0","KBL_m_50.0","River/Stream",19020302,NA,NA,60.467517,-150.507789,NA,NA,NA,"Interpolation-Satellite","NAD83",NA,NA,NA,NA,NA,NA,207,"Summer"
"12","Kenai Watershed Forum","KENAI_WQX-10000030_2007-05-01_09:54:00",2007-05-01,09:54:00,"AKDT","KENAI_WQX-10000030","Magnesium",0.743,"mg/l","Final","Actual","200.7(W)","USEPA","200.7 W  ~ Metals in Water by ICP-AES","KBL","m","50.0","KBL_m_50.0","River/Stream",19020302,NA,NA,60.467517,-150.507789,NA,NA,NA,"Interpolation-Satellite","NAD83",NA,NA,NA,NA,NA,NA,121,"Spring"
"13","Kenai Watershed Forum","KENAI_WQX-10000023_2006-04-25_10:45:00",2006-04-25,10:45:00,"AKDT","KENAI_WQX-10000023","Magnesium",1.46,"mg/l","Final","Actual","200.7(W)","USEPA","200.7 W  ~ Metals in Water by ICP-AES","KBL","m","23.0","KBL_m_23.0","River/Stream",19020302,NA,NA,60.480338,-151.030847,NA,NA,NA,"Interpolation-Satellite","NAD83",NA,NA,NA,NA,NA,NA,115,"Spring"
"14","Kenai Watershed Forum","KENAI_WQX-10000023_04/27/2004_10:30:00",2004-04-27,10:30:00,"AKDT","KENAI_WQX-10000023","Magnesium",1.47,"mg/l","Final","Actual","200.7(W)","USEPA","200.7 W  ~ Metals in Water by ICP-AES","KBL","m","23.0","KBL_m_23.0","River/Stream",19020302,NA,NA,60.480338,-151.030847,NA,NA,NA,"Interpolation-Satellite","NAD83",NA,NA,NA,NA,NA,NA,118,"Spring"
"15","Kenai Watershed Forum","KENAI_WQX-10000031_2012-05-01_13:15",2012-05-01,13:15:00,"AKDT","KENAI_WQX-10000031","Magnesium",1.02,"mg/l","Final","Actual","200.7","USEPA","Metals in Water by ICP-AES","KBL","m","70.0","KBL_m_70.0","River/Stream",19020302,NA,NA,60.481392,-150.11502,NA,NA,NA,"Interpolation-Satellite","NAD83",NA,NA,NA,NA,NA,NA,122,"Spring"
"16","Kenai Watershed Forum","KENAI_WQX-10000031_07/18/2000_11:40:00",2000-07-18,11:40:00,"AKDT","KENAI_WQX-10000031","Magnesium",1.3,"mg/l","Final","Actual","200.7(W)","USEPA","200.7 W  ~ Metals in Water by ICP-AES","KBL","m","70.0","KBL_m_70.0","River/Stream",19020302,NA,NA,60.481392,-150.11502,NA,NA,NA,"Interpolation-Satellite","NAD83",NA,NA,NA,NA,NA,NA,200,"Summer"
"17","Kenai Watershed Forum","KENAI_WQX-10000031_04/29/2003_09:09:00",2003-04-29,09:09:00,"AKDT","KENAI_WQX-10000031","Magnesium",0.99,"mg/l","Final","Actual","200.7(W)","USEPA","200.7 W  ~ Metals in Water by ICP-AES","KBL","m","70.0","KBL_m_70.0","River/Stream",19020302,NA,NA,60.481392,-150.11502,NA,NA,NA,"Interpolation-Satellite","NAD83",NA,NA,NA,NA,NA,NA,119,"Spring"
"18","Kenai Watershed Forum","KENAI_WQX-10000024_07/22/2003_11:55:00",2003-07-22,11:55:00,"AKDT","KENAI_WQX-10000024","Magnesium",3.3,"mg/l","Final","Actual","200.7(W)","USEPA","200.7 W  ~ Metals in Water by ICP-AES","KBL","t","30.0","KBL_t_30.0","River/Stream",19020302,NA,NA,60.489963,-150.860982,NA,NA,NA,"Interpolation-Satellite","NAD83",NA,NA,NA,NA,NA,NA,203,"Summer"
"19","Kenai Watershed Forum","KENAI_WQX-10000025_04/26/2005_09:55:00",2005-04-26,09:55:00,"AKDT","KENAI_WQX-10000025","Magnesium",1.89,"mg/l","Final","Actual","200.7(W)","USEPA","200.7 W  ~ Metals in Water by ICP-AES","KBL","m","31.0","KBL_m_31.0","River/Stream",19020302,NA,NA,60.498284,-150.863121,NA,NA,NA,"Interpolation-Satellite","NAD83",NA,NA,NA,NA,NA,NA,116,"Spring"
"20","Kenai Watershed Forum","KENAI_WQX-10000027_04/26/2005_14:30:00",2005-04-26,14:30:00,"AKDT","KENAI_WQX-10000027","Magnesium",1.18,"mg/l","Final","Actual","200.7(W)","USEPA","200.7 W  ~ Metals in Water by ICP-AES","KBL","m","40.0","KBL_m_40.0","River/Stream",19020302,NA,NA,60.515441,-150.702069,NA,NA,NA,"Interpolation-Satellite","NAD83",NA,NA,NA,NA,NA,NA,116,"Spring"
"21","Kenai Watershed Forum","KENAI_WQX-10000027_07/16/2002_13:09:00",2002-07-16,13:09:00,"AKDT","KENAI_WQX-10000027","Magnesium",0.78,"mg/l","Final","Actual","200.7(W)","USEPA","200.7 W  ~ Metals in Water by ICP-AES","KBL","m","40.0","KBL_m_40.0","River/Stream",19020302,NA,NA,60.515441,-150.702069,NA,NA,NA,"Interpolation-Satellite","NAD83",NA,NA,NA,NA,NA,NA,197,"Summer"
"22","Kenai Watershed Forum","KENAI_WQX-10000027_04/22/2008_13:58:00",2008-04-22,13:58:00,"AKST","KENAI_WQX-10000027","Magnesium",0.933,"mg/l","Final","Actual","200.7(W)","USEPA","200.7 W  ~ Metals in Water by ICP-AES","KBL","m","40.0","KBL_m_40.0","River/Stream",19020302,NA,NA,60.515441,-150.702069,NA,NA,NA,"Interpolation-Satellite","NAD83",NA,NA,NA,NA,NA,NA,113,"Spring"
"23","Kenai Watershed Forum","KENAI_WQX-10000032_07/29/2008_08:53:00",2008-07-29,08:53:00,"AKST","KENAI_WQX-10000032","Magnesium",0.892,"mg/l","Final","Actual","200.7","USEPA","Metals in Water by ICP-AES","KBL","t","74.0","KBL_t_74.0","River/Stream",19020302,NA,NA,60.484622,-149.993955,NA,NA,NA,"Interpolation-Satellite","NAD83",NA,NA,NA,NA,NA,NA,211,"Summer"
"24","Kenai Watershed Forum","KENAI_WQX-10000026_2001-07-24_08:54:00",2001-07-24,08:54:00,"AKDT","KENAI_WQX-10000026","Magnesium",3.6,"mg/l","Final","Actual","200.7(W)","USEPA","200.7 W  ~ Metals in Water by ICP-AES","KBL","t","36.0","KBL_t_36.0","River/Stream",19020302,NA,NA,60.53687,-150.754724,NA,NA,NA,"Interpolation-Satellite","NAD83",NA,NA,NA,NA,NA,NA,205,"Summer"
"25","Kenai Watershed Forum","KENAI_WQX-10000027_04/27/2004_14:05:00",2004-04-27,14:05:00,"AKDT","KENAI_WQX-10000027","Magnesium",1.07,"mg/l","Final","Actual","200.7(W)","USEPA","200.7 W  ~ Metals in Water by ICP-AES","KBL","m","40.0","KBL_m_40.0","River/Stream",19020302,NA,NA,60.515441,-150.702069,NA,NA,NA,"Interpolation-Satellite","NAD83",NA,NA,NA,NA,NA,NA,118,"Spring"
"26","Kenai Watershed Forum","KENAI_WQX-10000026_04/11/2001_10:05:00",2001-04-11,10:05:00,"AKDT","KENAI_WQX-10000026","Magnesium",1.8,"mg/l","Final","Actual","200.7(W)","USEPA","200.7 W  ~ Metals in Water by ICP-AES","KBL","t","36.0","KBL_t_36.0","River/Stream",19020302,NA,NA,60.53687,-150.754724,NA,NA,NA,"Interpolation-Satellite","NAD83",NA,NA,NA,NA,NA,NA,101,"Spring"
"27","Kenai Watershed Forum","KENAI_WQX-10000028_2012/07/31_10:16:00",2012-07-31,10:16:00,"AKDT","KENAI_WQX-10000028","Magnesium",0.864,"mg/l","Final","Actual","200.7","USEPA","Metals in Water by ICP-AES","KBL","m","43.0","KBL_m_43.0","River/Stream",19020302,NA,NA,60.489844,-150.636905,NA,NA,NA,"Interpolation-Satellite","NAD83",NA,NA,NA,NA,NA,NA,213,"Summer"
"28","Kenai Watershed Forum","KENAI_WQX-10000031_04/10/2002_12:10:00",2002-04-10,12:10:00,"AKST","KENAI_WQX-10000031","Magnesium",1.01,"mg/l","Final","Actual","200.7(W)","USEPA","200.7 W  ~ Metals in Water by ICP-AES","KBL","m","70.0","KBL_m_70.0","River/Stream",19020302,NA,NA,60.481392,-150.11502,NA,NA,NA,"Interpolation-Satellite","NAD83",NA,NA,NA,NA,NA,NA,100,"Spring"
"29","Kenai Watershed Forum","KENAI_WQX-10000031_07/16/2002_09:40:00",2002-07-16,09:40:00,"AKDT","KENAI_WQX-10000031","Magnesium",0.84,"mg/l","Final","Actual","200.7(W)","USEPA","200.7 W  ~ Metals in Water by ICP-AES","KBL","m","70.0","KBL_m_70.0","River/Stream",19020302,NA,NA,60.481392,-150.11502,NA,NA,NA,"Interpolation-Satellite","NAD83",NA,NA,NA,NA,NA,NA,197,"Summer"
"30","Kenai Watershed Forum","KENAI_WQX-10000027_2006-04-25_14:17:00",2006-04-25,14:17:00,"AKDT","KENAI_WQX-10000027","Magnesium",1.09,"mg/l","Final","Actual","200.7(W)","USEPA","200.7 W  ~ Metals in Water by ICP-AES","KBL","m","40.0","KBL_m_40.0","River/Stream",19020302,NA,NA,60.515441,-150.702069,NA,NA,NA,"Interpolation-Satellite","NAD83",NA,NA,NA,NA,NA,NA,115,"Spring"
"31","Kenai Watershed Forum","KENAI_WQX-10000026_2010-07-27_9:30:00",2010-07-27,09:30:00,"AKDT","KENAI_WQX-10000026","Magnesium",3.37,"mg/l","Final","Actual","200.7","USEPA","Metals in Water by ICP-AES","KBL","t","36.0","KBL_t_36.0","River/Stream",19020302,NA,NA,60.53687,-150.754724,NA,NA,NA,"Interpolation-Satellite","NAD83",NA,NA,NA,NA,NA,NA,208,"Summer"
"32","Kenai Watershed Forum","KENAI_WQX-10000027_04/26/2005_14:30:00",2005-04-26,14:30:00,"AKDT","KENAI_WQX-10000027","Magnesium",1.24,"mg/l","Final","Actual","200.7(W)","USEPA","200.7 W  ~ Metals in Water by ICP-AES","KBL","m","40.0","KBL_m_40.0","River/Stream",19020302,NA,NA,60.515441,-150.702069,NA,NA,NA,"Interpolation-Satellite","NAD83",NA,NA,NA,NA,NA,NA,116,"Spring"
"33","Kenai Watershed Forum","KENAI_WQX-10000026_2013/05/07_11:16",2013-05-07,11:16:00,"AKDT","KENAI_WQX-10000026","Magnesium",2,"mg/l","Final","Actual","200.8","USEPA","Metals in Waters by ICP/MS","KBL","t","36.0","KBL_t_36.0","River/Stream",19020302,NA,NA,60.53687,-150.754724,NA,NA,NA,"Interpolation-Satellite","NAD83",NA,NA,NA,NA,NA,NA,127,"Spring"
"34","Kenai Watershed Forum","KENAI_WQX-10000028_07/25/2006_10:07:00",2006-07-25,10:07:00,"AKDT","KENAI_WQX-10000028","Magnesium",1.13,"mg/l","Final","Actual","200.7(W)","USEPA","200.7 W  ~ Metals in Water by ICP-AES","KBL","m","43.0","KBL_m_43.0","River/Stream",19020302,NA,NA,60.489844,-150.636905,NA,NA,NA,"Interpolation-Satellite","NAD83",NA,NA,NA,NA,NA,NA,206,"Summer"
"35","Kenai Watershed Forum","KENAI_WQX-10000005_07/20/2004_10:30:00",2004-07-20,10:30:00,"AKDT","KENAI_WQX-10000005","Magnesium",3.92,"mg/l","Final","Actual","200.7(W)","USEPA","200.7 W  ~ Metals in Water by ICP-AES","KBL","m","06.5","KBL_m_06.5","River/Stream",19020302,NA,NA,60.54081,-151.18278,NA,NA,NA,"Interpolation-Satellite","NAD83",NA,NA,NA,NA,NA,NA,202,"Summer"
"36","Kenai Watershed Forum","KENAI_WQX-10000023_2009-07-21_13:40:00",2009-07-21,13:40:00,"AKDT","KENAI_WQX-10000023","Magnesium",1.04,"mg/l","Final","Actual","200.7","USEPA","Metals in Water by ICP-AES","KBL","m","23.0","KBL_m_23.0","River/Stream",19020302,NA,NA,60.480338,-151.030847,NA,NA,NA,"Interpolation-Satellite","NAD83",NA,NA,NA,NA,NA,NA,202,"Summer"
"37","Kenai Watershed Forum","KENAI_WQX-10000030_2009-07-21_08:27:00",2009-07-21,08:27:00,"AKDT","KENAI_WQX-10000030","Magnesium",1,"mg/l","Final","Actual","200.7","USEPA","Metals in Water by ICP-AES","KBL","m","50.0","KBL_m_50.0","River/Stream",19020302,NA,NA,60.467517,-150.507789,NA,NA,NA,"Interpolation-Satellite","NAD83",NA,NA,NA,NA,NA,NA,202,"Summer"
"38","Kenai Watershed Forum","KENAI_WQX-10000018_07/29/2008_11:15:00",2008-07-29,11:15:00,"AKST","KENAI_WQX-10000018","Magnesium",0.909,"mg/l","Final","Actual","200.7","USEPA","Metals in Water by ICP-AES","KBL","m","18.0","KBL_m_18.0","River/Stream",19020302,NA,NA,60.502005,-151.106973,NA,NA,NA,"Interpolation-Satellite","NAD83",NA,NA,NA,NA,NA,NA,211,"Summer"
"39","Kenai Watershed Forum","KENAI_WQX-10000016_04/26/2005_11:30:00",2005-04-26,11:30:00,"AKDT","KENAI_WQX-10000016","Magnesium",3.6,"mg/l","Final","Actual","200.7(W)","USEPA","200.7 W  ~ Metals in Water by ICP-AES","KBL","m","10.1","KBL_m_10.1","River/Stream",19020302,NA,NA,60.539279,-151.142263,NA,NA,NA,"Interpolation-Satellite","NAD83",NA,NA,NA,NA,NA,NA,116,"Spring"
"40","Kenai Watershed Forum","KENAI_WQX-10000016_2009-07-21_11:50:00",2009-07-21,11:50:00,"AKDT","KENAI_WQX-10000016","Magnesium",1.05,"mg/l","Final","Actual","200.7","USEPA","Metals in Water by ICP-AES","KBL","m","10.1","KBL_m_10.1","River/Stream",19020302,NA,NA,60.539279,-151.142263,NA,NA,NA,"Interpolation-Satellite","NAD83",NA,NA,NA,NA,NA,NA,202,"Summer"
"41","Kenai Watershed Forum","KENAI_WQX-10000016_07/16/2002_13:02:00",2002-07-16,13:02:00,"AKDT","KENAI_WQX-10000016","Magnesium",0.96,"mg/l","Final","Actual","200.7(W)","USEPA","200.7 W  ~ Metals in Water by ICP-AES","KBL","m","10.1","KBL_m_10.1","River/Stream",19020302,NA,NA,60.539279,-151.142263,NA,NA,NA,"Interpolation-Satellite","NAD83",NA,NA,NA,NA,NA,NA,197,"Summer"
"42","Kenai Watershed Forum","KENAI_WQX-10000018_2012/07/31_10:51:00",2012-07-31,10:51:00,"AKDT","KENAI_WQX-10000018","Magnesium",0.934,"mg/l","Final","Actual","200.7","USEPA","Metals in Water by ICP-AES","KBL","m","18.0","KBL_m_18.0","River/Stream",19020302,NA,NA,60.502005,-151.106973,NA,NA,NA,"Interpolation-Satellite","NAD83",NA,NA,NA,NA,NA,NA,213,"Summer"
"43","Kenai Watershed Forum","KENAI_WQX-10000027_07/20/2004_07:36:00",2004-07-20,07:36:00,"AKDT","KENAI_WQX-10000027","Magnesium",0.983,"mg/l","Final","Actual","200.7(W)","USEPA","200.7 W  ~ Metals in Water by ICP-AES","KBL","m","40.0","KBL_m_40.0","River/Stream",19020302,NA,NA,60.515441,-150.702069,NA,NA,NA,"Interpolation-Satellite","NAD83",NA,NA,NA,NA,NA,NA,202,"Summer"
"44","Kenai Watershed Forum","KENAI_WQX-10000029_2006-04-25_11:17:00",2006-04-25,11:17:00,"AKDT","KENAI_WQX-10000029","Magnesium",1.56,"mg/l","Final","Actual","200.7(W)","USEPA","200.7 W  ~ Metals in Water by ICP-AES","KBL","t","44.0","KBL_t_44.0","River/Stream",19020302,NA,NA,60.481518,-150.632498,NA,NA,NA,"Interpolation-Satellite","NAD83",NA,NA,NA,NA,NA,NA,115,"Spring"
"45","Kenai Watershed Forum","KENAI_WQX-10000020_2012-05-01_09:32",2012-05-01,09:32:00,"AKDT","KENAI_WQX-10000020","Magnesium",1.91,"mg/l","Final","Actual","200.7","USEPA","Metals in Water by ICP-AES","KBL","t","19.0","KBL_t_19.0","River/Stream",19020302,NA,NA,60.482318,-151.127053,NA,NA,NA,"Interpolation-Satellite","NAD83",NA,NA,NA,NA,NA,NA,122,"Spring"
"46","Kenai Watershed Forum","KENAI_WQX-10000018_2011-04-26_10:48:00",2011-04-26,10:48:00,"AKDT","KENAI_WQX-10000018","Magnesium",1.61,"mg/l","Final","Actual","200.7","USEPA","Metals in Water by ICP-AES","KBL","m","18.0","KBL_m_18.0","River/Stream",19020302,NA,NA,60.502005,-151.106973,NA,NA,NA,"Interpolation-Satellite","NAD83",NA,NA,NA,NA,NA,NA,116,"Spring"
"47","Kenai Watershed Forum","KENAI_WQX-10000031_2006-04-25_14:00:00",2006-04-25,14:00:00,"AKDT","KENAI_WQX-10000031","Magnesium",1.29,"mg/l","Final","Actual","200.7(W)","USEPA","200.7 W  ~ Metals in Water by ICP-AES","KBL","m","70.0","KBL_m_70.0","River/Stream",19020302,NA,NA,60.481392,-150.11502,NA,NA,NA,"Interpolation-Satellite","NAD83",NA,NA,NA,NA,NA,NA,115,"Spring"
"48","Kenai Watershed Forum","KENAI_WQX-10000017_2006-04-25_11:51:00",2006-04-25,11:51:00,"AKDT","KENAI_WQX-10000017","Magnesium",2.07,"mg/l","Final","Actual","200.7(W)","USEPA","200.7 W  ~ Metals in Water by ICP-AES","KBL","m","12.5","KBL_m_12.5","River/Stream",19020302,NA,NA,60.533743,-151.099258,NA,NA,NA,"Interpolation-Satellite","NAD83",NA,NA,NA,NA,NA,NA,115,"Spring"
"49","Kenai Watershed Forum","KENAI_WQX-10000017_07/29/2008_10:50:00",2008-07-29,10:50:00,"AKST","KENAI_WQX-10000017","Magnesium",0.919,"mg/l","Final","Actual","200.7","USEPA","Metals in Water by ICP-AES","KBL","m","12.5","KBL_m_12.5","River/Stream",19020302,NA,NA,60.533743,-151.099258,NA,NA,NA,"Interpolation-Satellite","NAD83",NA,NA,NA,NA,NA,NA,211,"Summer"
"50","Kenai Watershed Forum","KENAI_WQX-10000017_2012/07/31_10:24:00",2012-07-31,10:24:00,"AKDT","KENAI_WQX-10000017","Magnesium",0.967,"mg/l","Final","Actual","200.7","USEPA","Metals in Water by ICP-AES","KBL","m","12.5","KBL_m_12.5","River/Stream",19020302,NA,NA,60.533743,-151.099258,NA,NA,NA,"Interpolation-Satellite","NAD83",NA,NA,NA,NA,NA,NA,213,"Summer"
"51","Kenai Watershed Forum","KENAI_WQX-10000025_07/16/2002_10:52:00",2002-07-16,10:52:00,"AKDT","KENAI_WQX-10000025","Magnesium",0.81,"mg/l","Final","Actual","200.7(W)","USEPA","200.7 W  ~ Metals in Water by ICP-AES","KBL","m","31.0","KBL_m_31.0","River/Stream",19020302,NA,NA,60.498284,-150.863121,NA,NA,NA,"Interpolation-Satellite","NAD83",NA,NA,NA,NA,NA,NA,197,"Summer"
"52","Kenai Watershed Forum","KENAI_WQX-10000028_2009-04-28_13:08:00",2009-04-28,13:08:00,"AKDT","KENAI_WQX-10000028","Magnesium",1.04,"mg/l","Final","Actual","200.7","USEPA","Metals in Water by ICP-AES","KBL","m","43.0","KBL_m_43.0","River/Stream",19020302,NA,NA,60.489844,-150.636905,NA,NA,NA,"Interpolation-Satellite","NAD83",NA,NA,NA,NA,NA,NA,118,"Spring"
"53","Kenai Watershed Forum","KENAI_WQX-10000425_07/18/2000_09:10:00",2000-07-18,09:10:00,"AKDT","KENAI_WQX-10000425","Magnesium",0.9,"mg/l","Final","Actual","200.7(W)","USEPA","200.7 W  ~ Metals in Water by ICP-AES","KBL","m","82.0","KBL_m_82.0","River/Stream",19020302,NA,NA,60.492,-149.81087,NA,NA,NA,"Interpolation-Satellite","NAD83",NA,NA,NA,NA,NA,NA,200,"Summer"
"54","Kenai Watershed Forum","KENAI_WQX-10000425_2009-04-28_07:30:00",2009-04-28,07:30:00,"AKDT","KENAI_WQX-10000425","Magnesium",1.03,"mg/l","Final","Actual","200.7","USEPA","Metals in Water by ICP-AES","KBL","m","82.0","KBL_m_82.0","River/Stream",19020302,NA,NA,60.492,-149.81087,NA,NA,NA,"Interpolation-Satellite","NAD83",NA,NA,NA,NA,NA,NA,118,"Spring"
"55","Kenai Watershed Forum","KENAI_WQX-10000026_2009-07-21_12:00:00",2009-07-21,12:00:00,"AKDT","KENAI_WQX-10000026","Magnesium",4.19,"mg/l","Final","Actual","200.7","USEPA","Metals in Water by ICP-AES","KBL","t","36.0","KBL_t_36.0","River/Stream",19020302,NA,NA,60.53687,-150.754724,NA,NA,NA,"Interpolation-Satellite","NAD83",NA,NA,NA,NA,NA,NA,202,"Summer"
"56","Kenai Watershed Forum","KENAI_WQX-10000020_2009-04-28_10:00:00",2009-04-28,10:00:00,"AKDT","KENAI_WQX-10000020","Magnesium",2.21,"mg/l","Final","Actual","200.7","USEPA","Metals in Water by ICP-AES","KBL","t","19.0","KBL_t_19.0","River/Stream",19020302,NA,NA,60.482318,-151.127053,NA,NA,NA,"Interpolation-Satellite","NAD83",NA,NA,NA,NA,NA,NA,118,"Spring"
"57","Kenai Watershed Forum","KENAI_WQX-10000028_2011-04-26_11:30:00",2011-04-26,11:30:00,"AKDT","KENAI_WQX-10000028","Magnesium",1.04,"mg/l","Final","Actual","200.7","USEPA","Metals in Water by ICP-AES","KBL","m","43.0","KBL_m_43.0","River/Stream",19020302,NA,NA,60.489844,-150.636905,NA,NA,NA,"Interpolation-Satellite","NAD83",NA,NA,NA,NA,NA,NA,116,"Spring"
"58","Kenai Watershed Forum","KENAI_WQX-10000425_2011-04-26_07:50:00",2011-04-26,07:50:00,"AKDT","KENAI_WQX-10000425","Magnesium",0.828,"mg/l","Final","Actual","200.7","USEPA","Metals in Water by ICP-AES","KBL","m","82.0","KBL_m_82.0","River/Stream",19020302,NA,NA,60.492,-149.81087,NA,NA,NA,"Interpolation-Satellite","NAD83",NA,NA,NA,NA,NA,NA,116,"Spring"
